benchmark_id,host_CPI,host_L2_BW,host_L3_BW,host_L3_SYSTEM_BW,host_MEM_BW,host_context_switch,host_cpupercent,host_disk_io,host_disk_io_time,host_disk_weighted_io_time,host_memory,host_network,latency,latency90,process_dur_ms,total_dur_ms,weighted_latency
parsec.ferret,3.038,241.811,104.598,128.695,20.803,7312.591,6.737,220.001,30.4,36,268.844,0.671,0.216,0.247,13.188,18.082,0.108
parsec.fluidanimate,2.827,235.93,91.847,110.82,19.624,7669.437,6.417,879.683,72.8,1444.005,325.32,0.558,0.314,0.329,10.525,16.96,0.157
parsec.freqmine,2.717,140.225,99.552,127.23,37.406,5114.207,5.894,515.672,52.799,327.995,268.102,0.526,0.325,0.356,42.513,46.368,0.163
parsec.canneal,3.1,219.739,146.549,172.382,49.52,5039.143,4.69,155.825,21.598,24.798,314.879,0.443,0.652,0.66,13.484,17.468,0.326
splash2.barnes,3.263,91.729,29.519,41.763,12.111,3675.503,5.383,583.197,62.4,1851.992,276.797,0.448,0.676,0.722,15.669,20.911,0.338
splash2.cholesky,2.973,343.963,83.365,106.085,13.804,4190.964,4.852,293.6,57.6,65.6,279.563,0.35,0.548,0.648,12.217,16.563,0.274
splash2.fft,2.785,8.766,8.626,15.264,11.879,3992.63,2.338,312.794,59.199,850.381,268.938,0.412,0.01,0.01,14.643,22.07,0.005
splash2.fmm,2.6,144.397,174.315,267.955,17.267,4547.034,2.189,12.64,18.4,20.8,269.789,0.422,0.012,0.019,18.098,21.584,0.006
splash2.lu_cb,2.899,19.226,22.095,36.394,12.354,16663.411,6.616,38.72,49.6,330.402,267.906,1.083,0.034,0.038,12.027,1021.303,0.017
splash2.lu_ncb,2.838,421.561,242.857,300.506,15.951,17482.033,7.774,10.24,24.801,25.601,268.418,1.058,0.037,0.038,12.417,1021.94,0.018
splash2.ocean_cp,2.619,141.442,64.678,79.168,18.207,64050.037,7.325,7.68,20.8,22.4,269.605,0.918,0.09,0.096,12.062,16.936,0.045
splash2.ocean_ncp,3.054,548.373,480.217,418.984,31.219,61290.089,8.065,34.72,31.2,45.6,269.355,0.932,0.103,0.113,13.535,17.601,0.051
splash2.radix,3.03,201.842,184.117,162.042,17.809,13124.24,6.703,10.56,32,37.6,270.02,1.07,0.02,0.023,13.415,18.454,0.01
splash2.raytrace,3.263,120.854,109.463,167.028,24.901,12027.21,7.299,513.928,67.201,979.221,268.234,0.888,0.038,0.039,20.169,25.937,0.019
parsec,3.14,80.022,71.639,109.493,19.961,7932.834,7.128,4178.361,135.189,218.381,577.879,0.365,0.296,0.296,13.694,18.432,0.148
splash2x.water_nsquared,2.607,37.665,33.939,57.832,23.239,8660.239,5.372,1236.632,60.802,4990.6,270.809,0.662,0.049,0.054,12.116,15.77,0.025
splash2x.water_spatial,3.569,192.498,139.106,212.281,27.418,5449.204,4.705,159.198,28.8,33.6,273.68,0.546,0.272,0.297,10.594,14.134,0.136
wget_1M,3.155,8.504,8.525,15.372,9.659,46926.969,3.166,14.08,15.999,21.598,269.336,3126.997,0.01,0.01,50.336,55.855,0.005
wget_10M,3.376,186.833,100.708,187.729,44.511,47300.866,2.138,32.001,34.4,481.605,267.824,6842.66,0.09,0.09,12.417,28.042,0.045
wget_100M,2.882,9.682,8.749,20.939,23.998,59100.906,10.815,24165.858,716.84,99321.553,269.395,8251.657,0.89,0.89,11.702,16.118,0.445
wget_1G,3.043,375.09,107.5,183.199,70.279,220808.114,6.419,7.52,7.2,8.8,305.219,24901.736,8.91,8.91,12.487,17.61,4.455
wget_10G,3.631,311.039,141.604,312.85,206.048,110575.397,13.488,35053.68,999.993,143353.4,584.66,24889.725,90.32,90.32,16.766,26.683,45.16
iperf_10,2.702,172.876,133.541,207.959,162.954,7408.535,6.389,20593.511,601.68,85206.501,274.313,2.766,0,0,15.525,21.838,0
iperf_100,2.558,124.154,132.951,253.592,66.997,14908.348,1.54,5.6,9.6,10.4,301.176,6.611,0.05,0.06,12.557,18.069,0.025
iperf_1000,2.652,25.311,31.044,101.635,57.785,19051.739,2.793,7.04,12.8,12.8,280.563,13.536,0.317,0.335,11.294,14.613,0.159
iperf_10000,3.073,23.905,27.647,115.692,113.05,33088.92,9.44,17.6,36,75.201,1374.125,73.446,3.53,3.546,15.687,19.81,1.765
dd_1M_1,3.389,61.175,60.857,124.193,12.791,11662.005,4.414,9182.498,407.197,1171.992,275.164,8.445,0.002,0.01,15.062,19.916,0.001
dd_10M_10,3.185,13.884,13.472,26.203,10.84,4884.504,5.485,12238.706,381.739,8187.783,277.133,1.545,0.105,0.118,18.182,24.527,0.052
dd_100M_100,3.125,9.305,9.521,49.925,38.4,1958.638,6.255,12146.103,396.79,43807.751,275.684,0.494,1.118,1.18,14.337,20.14,0.559
dd_1000M_1000,2.84,8.504,8.399,25.472,19.257,2538.906,4.664,10.24,24,31.2,275.836,0.371,5.76,5.76,34.556,38.083,2.88
dd_2G_2000,3.752,8.472,8.521,66.316,82.656,2895.839,7.168,16.32,12.799,13.599,273.91,0.341,11.9,11.9,15.131,1025.892,5.95
dd_10G_10000,2.974,8.547,8.657,29.426,49.318,9494.35,10.195,32281.176,1000.016,179469.314,272.031,0.367,80.52,80.52,12.629,16.686,40.26
stream_16_16_10,4.363,2881.141,2213.562,1494.223,1698.323,3328.188,13.94,6.4,19.199,35.999,319.715,0.342,10.5,10.5,10.629,13.954,5.25
stream_2_2_10,4.026,2128.313,1584.961,1124.362,1641.446,1739.354,13.571,10.24,15.2,25.601,277.727,0.35,10.09,10.09,13.639,17.51,5.045
